word,count
Sussex,82397
Furniture,59879
Accessories,36541
Clothing,28747
Footwear,28747
Home,23392
Midlands,22405
Hobbies,20802
Leisure,20802
England,18923
Businesses,17887
sale,17887
Baby,16561
Kids,16560
Antiques,16440
Collectables,16440
Computers,15167
Electronics,15167
Appliances,13559
Agricultural,13289
Scotland,11761
DIY,11616
Tv,11289
Audio,11289
Cameras,11289
Garden,10230
Wales,10163
Decor,9832
Cookware,9440
Dining,9440
Sports,9430
Equipment,9430
Yorkshire,9036
Humber,9036
Bicycles,8557
Movies,8423
Games,8423
Books,8423
Music,8423
Musical,8201
Instruments,8201
Mobility,8142
Heating,7789
Cooling,7789
Phones,7785
Bizarre,7720
Bazaar,7720
Travel,7103
Holidays,7103
Lighting,6760
Consoles,6515
Event,5933
Ticket,5933
Resales,5933
London,4338
Northern,3964
Ireland,3964
Other,1466
Marks,442
Spencer,442
Next,309
Clarks,260
George,160
Asda,160
Dell,142
River,130
Island,130
John,129
Lewis,129
Disney,128
Citroen,116
Dorothy,112
Perkins,112
Activewear,100
Nike,85
Lipsy,79
Lacoste,77
Levi,70
s,70
Birchwood,67
Zara,66
Bristol,66
Fruit,62
Loom,62
Devon,62
Audi,59
Channel,59
Islands,59
Bonmarche,59
M,58
Converse,54
Tesco,53
adidas,52
Hugo,52
Boss,52
Suzuki,52
General,52
jobs,52
BMW,51
New,51
