type_name,week,id
Accessories,1,1
Accessories,2,1
Accessories,3,1
Accessories,4,1
Accessories,5,17
Accessories,6,22
Accessories,7,39
Accessories,8,76
Accessories,9,1
Accessories,10,1
Accessories,11,2
Accessories,12,1
Accessories,13,1
Accessories,14,1
Accessories,15,1
Accessories,16,1
Accessories,17,1
Accessories,18,1
Accessories,19,1
Accessories,20,1
Accessories,21,1
Accessories,22,1
Accessories,23,2
Accessories,24,1
Accessories,25,1
Accessories,26,1
Accessories,27,2
Accessories,28,1
Accessories,29,2
Accessories,30,1
Accessories,31,1
Accessories,32,1
Accessories,33,1
Accessories,34,1
Accessories,35,2
Accessories,36,1
Accessories,37,1
Accessories,38,1
Accessories,39,1
Accessories,40,2
Accessories,41,1
Accessories,42,1
Accessories,43,1
Accessories,44,1
Accessories,45,1
Accessories,46,1
Accessories,47,2
Accessories,48,1
Accessories,49,1
Accessories,50,1
Accessories,51,1
Accessories,52,1
Accessories,53,1
Campervans,1,301
Campervans,2,301
Campervans,3,204
Campervans,4,301
Campervans,5,301
Campervans,6,302
Campervans,7,302
Campervans,8,399
Campervans,9,302
Campervans,10,303
Campervans,11,400
Campervans,12,440
Campervans,13,346
Campervans,14,346
Campervans,15,347
Campervans,16,347
Campervans,17,347
Campervans,18,348
Campervans,19,348
Campervans,20,368
Campervans,21,368
Campervans,22,369
Campervans,23,469
Campervans,24,372
Campervans,25,372
Campervans,26,568
Campervans,27,376
Campervans,28,380
Campervans,29,383
Campervans,30,479
Campervans,31,384
Campervans,32,385
Campervans,33,385
Campervans,34,385
Campervans,35,482
Campervans,36,397
Campervans,37,397
Campervans,38,397
Campervans,39,397
Campervans,40,495
Campervans,41,397
Campervans,42,495
Campervans,43,397
Campervans,44,397
Campervans,45,431
Campervans,46,299
Campervans,47,397
Campervans,48,396
Campervans,49,299
Campervans,50,299
Campervans,51,299
Campervans,52,299
Campervans,53,98
For Hire,1,20
For Hire,2,20
For Hire,3,16
For Hire,4,20
For Hire,5,20
For Hire,6,20
For Hire,7,20
For Hire,8,24
For Hire,9,20
For Hire,10,20
For Hire,11,24
For Hire,12,24
For Hire,13,20
For Hire,14,20
For Hire,15,20
For Hire,16,20
For Hire,17,20
For Hire,18,20
For Hire,19,20
For Hire,20,20
For Hire,21,20
For Hire,22,20
For Hire,23,24
For Hire,24,20
For Hire,25,20
For Hire,26,28
For Hire,27,20
For Hire,28,20
For Hire,29,20
For Hire,30,24
For Hire,31,20
For Hire,32,20
For Hire,33,20
For Hire,34,20
For Hire,35,24
For Hire,36,20
For Hire,37,20
For Hire,38,20
For Hire,39,20
For Hire,40,24
For Hire,41,20
For Hire,42,24
For Hire,43,20
For Hire,44,20
For Hire,45,24
For Hire,46,16
For Hire,47,20
For Hire,48,20
For Hire,49,20
For Hire,50,20
For Hire,51,20
For Hire,52,20
For Hire,53,4
Lodge,1,60
Lodge,2,60
Lodge,3,43
Lodge,4,61
Lodge,5,61
Lodge,6,61
Lodge,7,61
Lodge,8,78
Lodge,9,61
Lodge,10,61
Lodge,11,78
Lodge,12,83
Lodge,13,63
Lodge,14,63
Lodge,15,63
Lodge,16,63
Lodge,17,64
Lodge,18,64
Lodge,19,64
Lodge,20,64
Lodge,21,64
Lodge,22,64
Lodge,23,83
Lodge,24,66
Lodge,25,66
Lodge,26,100
