,index,user_id,type_name,ads_count,frequency_in_months,username,email,phone
0,0,5750,Motorhomes,37,0.2702702702702703,wilkinsmotorcaravans,sales@wilkinsmotorcaravans.co.uk,01285 821216
1,37,69356,Static Caravans,363,0.0743801652892562,lloydscaravans,enquiries@lloydscaravans.co.uk,01745 832050
2,400,93066,Static Caravans,5,7.0,smytham,info@smytham.co.uk,01805 622110
3,405,112118,Motorhomes,30,0.4666666666666667,pearmanbriggs,pearmanbriggs@gmail.com,01531 822666
4,435,112143,Touring Caravans,81,0.2345679012345679,pearmanbriggsglouces,sales@pearmanbriggs.co.uk,01531 822666
5,516,132301,Campervans,19,0.30158730158730157,sales123456,sales@highlandcampervans.com,01667 493976
6,579,132301,Motorhomes,44,0.30158730158730157,sales123456,sales@highlandcampervans.com,01667 493976
7,642,158551,Motorhomes,69,0.676056338028169,wellsbridgemotorhom,info@wellsbridgemotorhomes.com,01487815511
8,713,158596,Touring Caravans,25,0.3076923076923077,southeastcaravans,sales@southeastcaravans.co.uk,01227 772373
9,739,158740,Motorhomes,21,0.6363636363636364,tomrylie,tomrylie@aol.com,01233 712021
10,761,158760,Touring Caravans,35,0.8,tamworthcaravans,tamworthcaravans@tiscali.co.uk,01827 262666
11,796,158778,Motorhomes,8,0.36,blackwoodleisur,blackwoodleisure@tiscali.co.uk,01283 819620
12,846,158778,Touring Caravans,42,0.36,blackwoodleisur,blackwoodleisure@tiscali.co.uk,01283 819620
13,896,158795,Motorhomes,335,0.028075970272502065,highbridgecaravans,info@highbridgecaravans.co.uk,01278 782725
14,2107,158795,Touring Caravans,876,0.028075970272502065,highbridgecaravans,info@highbridgecaravans.co.uk,01278 782725
15,3318,158798,Campervans,70,0.17142857142857143,caravansforsale2,caravansforsale@southdownsmotorcaravans.co.uk,02392 674820
16,3633,158798,Motorhomes,245,0.17142857142857143,caravansforsale2,caravansforsale@southdownsmotorcaravans.co.uk,02392 674820
17,3948,158803,Motorhomes,376,0.05319148936170213,teamchelston,mike.davis@teamchelston.co.uk,01823 662075
18,4324,158808,Motorhomes,9,0.23684210526315788,catherine4,info@bmvcaravans.co.uk,01747 851497
19,4400,158808,Touring Caravans,67,0.23684210526315788,catherine4,info@bmvcaravans.co.uk,01747 851497
20,4476,158814,Touring Caravans,60,0.3,canterburycaravans,sales@canterburycaravans.co.uk,01227 712 777
21,4479,158814,Touring Caravans,60,0.3,canterburycaravans,sales@canterburycaravans.co.uk,01227 712777
22,4536,158819,Motorhomes,6,0.9,oxfordcaravans,sales@oxfordcaravans.com,01844 339566
23,4546,158819,Touring Caravans,4,0.9,oxfordcaravans,sales@oxfordcaravans.com,01844 339566
24,4556,158831,Motorhomes,91,0.24175824175824176,jcleisure,sales@jcleisure.co.uk,01797 227337
25,4647,158838,Static Caravans,24,2.230769230769231,roundstonecaravans,sales@roundstonecaravans.com,01403 730218
26,4673,158845,Touring Caravans,149,0.12751677852348994,wandahome,sales@wandahome.co.uk,01977 633100
27,4822,158875,Motorhomes,135,0.1079136690647482,stewartmouland,generalsales@stewartmouland.co.uk,01273 587229
28,4823,158875,Motorhomes,135,0.1079136690647482,stewartmouland,,01273 587229
29,4961,158911,Static Caravans,4,0.5555555555555556,ennis-caravans,shaun.ennis@ennis-caravans.co.uk,01269 832 381
30,4997,158911,Touring Caravans,30,0.5555555555555556,ennis-caravans,shaun.ennis@ennis-caravans.co.uk,01269 832 381
31,5033,158926,Motorhomes,240,0.08333333333333333,tynevalleymotorhome,sales@tynevalleymotorhomes.co.uk,01207 272777
32,5273,158927,Motorhomes,77,0.5512820512820513,premiermotorhomes,sales@premiermotorhomes.uk,01243 511189
33,5283,158927,Motorhomes,77,0.5512820512820513,premiermotorhomes,sales@premiermotorhomes.com,01243 511189
34,5351,158943,Campervans,28,0.10526315789473684,pullingerssales,pullingerssales@aol.com,01787336887
35,5484,158943,Motorhomes,105,0.10526315789473684,pullingerssales,pullingerssales@aol.com,01787336887
36,5617,158953,Touring Caravans,67,0.3235294117647059,northwesterncaravans,info@northwesterncaravans.co.uk,0161 486 6055
37,5685,158955,Motorhomes,9,0.3380281690140845,beechwood,sales@beechwoodleisure.co.uk,01845 523500
38,5756,158955,Touring Caravans,61,0.3380281690140845,beechwood,sales@beechwoodleisure.co.uk,01845 523500
39,5827,158969,Motorhomes,9,2.2,j7motorhomes,sales@j7motorhomes.co.uk,01905 840288
40,5837,158972,Motorhomes,44,1.2272727272727273,mark47,mark@dreamsrv.co.uk,01869 325522
41,5881,158976,Touring Caravans,19,0.47368421052631576,johnwicks,sales@johnwicks.co.uk,01485 601212
42,5900,158980,Campervans,46,0.05327868852459016,martin24,,0115 930 3140
43,6144,158980,Motorhomes,192,0.05327868852459016,martin24,,0115 930 3140
44,6388,158980,Towing Vehicles,6,0.05327868852459016,martin24,,0115 930 3140
45,6632,158982,Campervans,29,0.1527777777777778,simpsonsmotorcarava,sales@simpsonsmotorcaravans.com,01493 601696
46,6776,158982,Motorhomes,115,0.1527777777777778,simpsonsmotorcarava,sales@simpsonsmotorcaravans.com,01493 601696
47,6920,158984,Touring Caravans,100,0.29,ub-c,sales@ub-c.co.uk,0191 4906074
48,7020,158985,Motorhomes,7,0.6904761904761905,halleycaravans,admin@halleycaravans.co.uk,01560 484859
49,7062,158985,Touring Caravans,35,0.6904761904761905,halleycaravans,admin@halleycaravans.co.uk,01560 484859
50,7104,158997,Campervans,3,0.3157894736842105,jeanette.lewis,admin@southernmotorhomes.co.uk,01344 455666
51,7142,158997,Motorhomes,35,0.3157894736842105,jeanette.lewis,admin@southernmotorhomes.co.uk,01344 455666
52,7180,159010,Motorhomes,47,0.2926829268292683,PeterRobertsCaravans,office@peterrobertscaravans.co.uk,01484 662774
53,7262,159010,Touring Caravans,35,0.2926829268292683,PeterRobertsCaravans,office@peterrobertscaravans.co.uk,01484 662774
54,7344,159012,Touring Caravans,41,0.9024390243902439,darren6,sales@atlanticcaravans.co.uk,01579 321041
55,7385,159026,Motorhomes,3,0.17333333333333334,salesgc,salesgc@goldencastle.co.uk,01452 730100
56,7389,159026,Motorhomes,3,0.17333333333333334,salesgc,salesgc@goldencastle.co.uk,01452 713311
57,7460,159026,Touring Caravans,72,0.17333333333333334,salesgc,salesgc@goldencastle.co.uk,01452 730100
58,7464,159026,Touring Caravans,72,0.17333333333333334,salesgc,salesgc@goldencastle.co.uk,01452 713311
59,7535,159095,Touring Caravans,15,0.8,charmouthcaravans,enquiries@charmouthcaravans.co.uk,01297 561231
60,7550,159132,Touring Caravans,3,0.0,sussexeast,saleseast@sussexcaravancentre.co.uk,01342 851393
61,7553,159133,Motorhomes,239,0.058577405857740586,clvwales,sales@clvwales.co.uk,01269 831151
62,7792,159141,Motorhomes,69,0.14492753623188406,leisure7ltd,leisure7ltd@gmail.com,01422 200726
63,7861,159156,Motorhomes,44,0.2916666666666667,LMTLL,sales@jmtleisure.co.uk,01934 835379
64,7909,159156,Touring Caravans,4,0.2916666666666667,LMTLL,sales@jmtleisure.co.uk,01934 835379
65,7957,159163,Motorhomes,32,0.5,stevej,stevej@stjmotorhomes.co.uk,01491 671563
66,8003,159163,Touring Caravans,13,0.5,stevej,stevej@stjmotorhomes.co.uk,01491 671563
67,8049,159165,Campervans,130,0.296551724137931,hoyles,sales@hoylesdenholme.co.uk,01274 832836
68,8194,159165,Motorhomes,15,0.296551724137931,hoyles,sales@hoylesdenholme.co.uk,01274 832836
69,8339,159260,Motorhomes,4,2.3,cambridge,info@cambridgecaravans.co.uk,01223 265553
70,8359,159260,Touring Caravans,16,2.3,cambridge,info@cambridgecaravans.co.uk,01223 265553
